Temperature Offsets
Date of Calibration:,10-29-18,11:02:45
TOP:,1.49,BOT:,0.48
LED Calibration:,500

TIME,PLATE,TUBE,DISK TOP,DISK BOTTOM,FLUID TEMP,PIEZO CURRENT, LED CURRENT
09:32:06,73.70,56.74,66.41,65.42,66.08,0, ,
09:32:16,73.51,56.79,66.39,65.45,66.07,0, ,
09:32:26,73.89,56.79,66.38,65.41,66.06,0, ,
09:32:36,73.40,56.79,66.37,65.42,66.05,0, ,
09:32:46,73.53,56.71,66.35,65.39,66.03,0, ,
09:32:56,74.06,56.76,66.38,65.44,66.07,0, ,
09:33:06,73.51,56.73,66.38,65.44,66.07,0, ,
09:33:16,74.07,56.73,66.36,65.41,66.05,0, ,
09:33:26,73.79,56.71,66.40,65.43,66.08,0, ,
09:33:36,73.48,56.69,66.37,65.44,66.06,0, ,
09:33:46,73.76,56.68,66.35,65.42,66.04,0, ,
09:33:56,73.41,56.65,66.35,65.42,66.04,0, ,
09:34:06,73.92,56.65,66.35,65.42,66.04,0, ,
09:34:16,74.09,56.68,66.41,65.40,66.07,0, ,
09:34:26,73.68,56.68,66.38,65.44,66.06,0, ,
09:34:36,73.81,56.66,66.37,65.42,66.05,0, ,
09:34:46,73.21,56.65,66.38,65.44,66.06,0, ,
09:34:56,73.33,56.62,66.33,65.44,66.03,0, ,
09:35:06,73.86,56.63,66.35,65.43,66.04,0, ,
09:35:16,73.56,56.65,66.37,65.42,66.06,0, ,
09:35:26,74.10,56.62,66.36,65.41,66.04,0, ,
09:35:36,73.46,56.59,66.38,65.41,66.06,0, ,
09:35:46,73.37,56.60,66.37,65.41,66.05,0, ,
09:35:56,73.46,56.60,66.37,65.41,66.05,0, ,
09:36:06,73.04,56.57,66.32,65.43,66.02,0, ,
09:36:16,73.60,56.59,66.29,65.41,66.00,0, ,
09:36:26,73.47,56.62,66.33,65.40,66.02,0, ,
09:36:36,73.50,56.54,66.33,65.42,66.01,0, ,
09:36:46,74.23,56.57,66.32,65.41,66.01,0, ,
09:36:56,73.71,56.56,66.34,65.41,66.03,0, ,
09:37:06,73.59,56.54,66.35,65.44,66.04,0, ,
09:37:16,73.71,56.56,66.39,65.42,66.06,0, ,
09:37:26,73.26,56.53,66.36,65.44,66.04,0, ,
09:37:36,73.84,56.56,66.34,65.46,66.04,0, ,
09:37:46,73.26,56.54,66.37,65.42,66.06,0, ,
09:37:56,73.23,56.51,66.33,65.42,66.04,0, ,
09:38:06,73.27,56.53,66.31,65.42,66.01,0, ,
09:38:16,73.25,56.48,66.31,65.41,66.01,0, ,
09:38:26,73.65,56.48,66.30,65.39,66.00,0, ,
09:38:36,73.51,56.51,66.34,65.41,66.03,0, ,
09:38:46,73.50,56.50,66.33,65.38,66.01,0, ,
09:38:56,74.27,56.50,66.30,65.41,66.00,0, ,
09:39:06,73.41,56.48,66.35,65.41,66.05,0, ,
09:39:16,73.67,56.46,66.35,65.40,66.04,0, ,
09:39:26,73.56,56.48,66.37,65.42,66.05,0, ,
09:39:36,73.33,56.45,66.37,65.42,66.05,0, ,
09:39:46,73.64,56.50,66.34,65.44,66.03,0, ,
09:39:56,73.27,56.43,66.34,65.42,66.04,0, ,
09:40:06,73.22,56.45,66.35,65.41,66.03,0, ,
09:40:16,73.46,56.45,66.35,65.40,66.03,0, ,
09:40:26,73.17,56.45,66.33,65.42,66.02,0, ,
09:40:36,73.37,56.40,66.30,65.41,66.00,0, ,
09:40:46,73.30,56.42,66.34,65.42,66.03,0, ,
09:40:56,73.31,56.37,66.32,65.38,66.01,0, ,
09:41:06,73.84,56.40,66.30,65.39,66.00,0, ,
09:41:16,73.22,56.39,66.36,65.38,66.03,0, ,
09:41:26,73.51,56.42,66.29,65.40,65.99,0, ,
09:41:36,74.09,56.40,66.36,65.40,66.04,0, ,
09:41:46,73.58,56.39,66.39,65.39,66.06,0, ,
09:41:56,73.61,56.39,66.37,65.41,66.05,0, ,
09:42:06,73.05,56.39,66.39,65.43,66.07,0, ,
09:42:16,72.93,56.36,66.30,65.39,66.00,0, ,
09:42:26,73.69,56.34,66.35,65.41,66.03,0, ,
09:42:36,73.38,56.34,66.35,65.39,66.03,0, ,
09:42:46,73.50,56.34,66.33,65.39,66.01,0, ,
09:42:56,73.23,56.34,66.36,65.39,66.04,0, ,
09:43:06,73.17,56.34,66.33,65.40,66.02,0, ,
09:43:16,73.75,56.34,66.32,65.40,66.01,0, ,
09:43:26,73.16,56.33,66.32,65.40,66.01,0, ,
09:43:36,73.14,56.31,66.30,65.39,66.00,0, ,
09:43:46,73.31,56.31,66.34,65.37,66.01,0, ,
09:43:56,73.50,56.28,66.34,65.43,66.04,0, ,
09:44:06,74.05,56.28,66.32,65.38,66.01,0, ,
09:44:16,73.30,56.28,66.37,65.39,66.05,0, ,
09:44:26,73.36,56.30,66.33,65.43,66.02,0, ,
09:44:36,73.25,56.25,66.37,65.41,66.04,0, ,
09:44:46,73.15,56.25,66.31,65.39,66.01,0, ,
09:44:56,73.53,56.22,66.32,65.42,66.02,0, ,
09:45:06,73.23,56.23,66.34,65.42,66.03,0, ,
09:45:16,73.27,56.20,66.32,65.39,66.00,0, ,
09:45:26,73.44,56.22,66.33,65.39,66.02,0, ,
09:45:36,72.89,56.20,66.34,65.39,66.02,0, ,
09:45:46,73.38,56.20,66.30,65.37,65.99,0, ,
09:45:56,73.60,56.19,66.35,65.39,66.03,0, ,
09:46:06,73.42,56.17,66.32,65.38,66.01,0, ,
09:46:16,73.71,56.20,66.31,65.39,66.00,0, ,
09:46:26,73.27,56.20,66.33,65.40,66.02,0, ,
09:46:36,73.34,56.22,66.33,65.41,66.02,0, ,
09:46:46,73.78,56.17,66.34,65.39,66.02,0, ,
09:46:56,73.27,56.19,66.34,65.40,66.02,0, ,
09:47:06,73.39,56.16,66.35,65.41,66.03,0, ,
09:47:16,72.94,56.17,66.35,65.42,66.04,0, ,
09:47:26,72.99,56.17,66.31,65.41,66.01,0, ,
09:47:36,63.42,56.16,66.30,65.39,66.00,0, ,
09:47:46,72.59,56.14,66.31,65.37,65.99,0, ,
09:47:56,73.26,56.11,66.28,65.37,65.97,0, ,
09:48:06,73.63,56.13,66.30,65.35,65.99,0, ,
09:48:16,73.68,56.10,66.31,65.34,66.00,0, ,
09:48:26,74.22,56.11,66.33,65.36,66.01,0, ,
09:48:36,73.57,56.11,66.36,65.38,66.04,0, ,
09:48:46,73.24,56.14,66.36,65.39,66.04,0, ,
09:48:56,73.31,56.10,66.33,65.38,66.03,0, ,
09:49:06,72.95,56.11,66.36,65.41,66.04,0, ,
09:49:16,73.27,56.10,66.34,65.40,66.03,0, ,
09:49:26,73.20,56.10,66.37,65.40,66.05,0, ,
09:49:38,73.05,56.08,66.37,65.40,66.05,0, ,
09:49:46,69.78,55.91,66.26,65.37,65.97,0, ,
09:49:56,67.61,55.68,66.11,65.37,65.86,0, ,
09:50:06,65.63,55.42,65.90,65.37,65.72,0, ,
09:50:18,63.65,55.22,65.55,65.37,65.49,0, ,
09:50:27,61.81,54.81,65.20,65.01,65.13,0, ,
09:50:36,60.60,54.53,64.90,65.01,64.94,0, ,
09:50:49,59.36,54.17,64.47,63.79,64.27,0, ,
09:50:56,58.76,54.01,64.26,63.79,64.11,0, ,
09:51:06,57.23,53.48,63.62,63.05,63.45,0, ,
09:51:16,56.28,53.14,63.23,62.68,63.09,0, ,
09:51:26,55.44,52.80,62.82,62.35,62.68,0, ,
09:51:36,54.71,52.45,62.46,62.03,62.32,0, ,
09:51:46,54.03,52.09,62.07,61.66,61.93,0, ,
09:51:56,53.39,51.80,61.68,61.30,61.55,0, ,
09:52:06,52.79,51.42,61.35,60.95,61.23,0, ,
09:52:16,52.31,51.07,60.95,60.60,60.85,0, ,
09:52:26,51.59,50.77,60.67,60.30,60.56,0, ,
09:52:36,51.16,50.43,60.32,59.95,60.20,0, ,
09:52:46,50.64,50.09,59.94,59.64,59.85,0, ,
09:52:56,50.36,49.73,59.62,59.29,59.52,0, ,
09:53:06,49.89,49.43,59.29,59.00,59.19,0, ,
09:53:16,49.43,49.12,58.99,58.68,58.89,0, ,
09:53:26,49.00,48.78,58.65,58.38,58.56,0, ,
09:53:36,48.69,48.47,58.35,58.11,58.29,0, ,
09:53:46,48.33,48.20,58.10,57.81,58.01,0, ,
09:53:56,47.95,47.89,57.79,57.54,57.71,0, ,
09:54:06,47.61,47.58,57.50,57.28,57.42,0, ,
09:54:16,47.28,47.28,57.20,56.99,57.14,0, ,

END OF LOG
